City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,Huayucachi,84,PE,1659415498,80,-12.1333,-75.2333,10.28,0.7
1,Barentin,87,FR,1659415498,94,49.5453,0.9552,16.79,1.54
2,Bilibino,73,RU,1659415498,34,68.0546,166.4372,21.47,8.22
3,Laas,97,IT,1659415498,82,46.6166,10.7002,15.17,1.24
4,Mataura,10,NZ,1659415499,75,-46.1927,168.8643,6.93,5.11
5,Vardø,100,NO,1659415499,93,70.3705,31.1107,10.99,1.03
6,Yellowknife,20,CA,1659415499,39,62.456,-114.3525,18.29,2.57
7,Jamestown,100,US,1659415463,73,42.097,-79.2353,21.26,6.17
8,Guymon,0,US,1659415499,61,36.6828,-101.4816,25.0,3.09
9,Pouébo,38,NC,1659415500,75,-20.4,164.5667,25.37,3.31
10,Punta Arenas,75,CL,1659415479,61,-53.15,-70.9167,8.06,7.2
11,Saint-Augustin,38,CA,1659415384,98,51.226,-58.6502,16.27,2.84
12,Batagay-Alyta,94,RU,1659415500,66,67.8006,130.4114,15.46,3.44
13,Moose Factory,0,CA,1659415500,100,51.2585,-80.6094,8.99,2.57
14,Tura,100,IN,1659415500,76,25.5198,90.2201,28.84,1.33
15,Nha Trang,90,VN,1659415501,63,12.25,109.1833,32.0,2.53
16,Brae,100,GB,1659415501,97,60.3964,-1.353,12.85,7.53
17,Hirara,40,JP,1659415501,70,24.8,125.2833,31.15,5.66
18,Rikitea,24,PF,1659415502,74,-23.1203,-134.9692,22.93,11.04
19,Albany,37,US,1659415355,80,42.6001,-73.9662,20.96,1.78
20,Vejen Municipality,100,DK,1659415502,100,55.4833,9.15,7.81,1.54
21,Yulara,40,AU,1659415502,17,-25.2406,130.9889,26.91,12.35
22,Nikolskoye,100,RU,1659415502,96,59.7035,30.7861,18.29,3.95
23,Mar del Plata,0,AR,1659415475,72,-38.0023,-57.5575,10.0,4.47
24,Kabo,100,CF,1659415503,97,7.6994,18.629,20.62,1.53
25,Hobart,75,AU,1659415278,56,-42.8794,147.3294,13.45,5.66
26,Cidreira,70,BR,1659415503,88,-30.1811,-50.2056,13.36,0.97
27,New Norfolk,55,AU,1659415503,67,-42.7826,147.0587,11.02,1.34
28,Codrington,100,AU,1659415504,56,-38.2667,141.9667,14.12,9.89
29,Chapais,100,CA,1659415504,97,49.7834,-74.8492,17.88,4.9
30,Dunedin,48,NZ,1659415504,54,-45.8742,170.5036,12.09,5.01
31,Upington,0,ZA,1659415504,62,-28.4478,21.2561,12.21,3.09
32,Ushuaia,20,AR,1659415371,65,-54.8,-68.3,6.81,2.57
33,Acaraú,47,BR,1659415505,81,-2.8856,-40.12,25.53,7.27
34,Vaini,40,TO,1659415505,94,-21.2,-175.2,26.09,3.6
35,Petropavlovsk-Kamchatskiy,75,RU,1659415505,68,53.0452,158.6483,18.33,3.0
36,Khatanga,100,RU,1659415506,63,71.9667,102.5,9.99,4.22
37,Canton of Neuchâtel,66,CH,1659415506,84,46.9167,6.8333,16.38,0.0
38,Cape Town,0,ZA,1659415230,81,-33.9258,18.4232,9.77,4.47
39,Puerto Colombia,100,CO,1659415506,81,10.9878,-74.9547,27.05,3.27
40,Pyaozerskiy,99,RU,1659415506,81,65.8333,31.1667,15.37,2.33
41,Asău,67,RO,1659415231,88,46.4333,26.4,16.51,1.59
42,Chokurdakh,92,RU,1659415507,63,70.6333,147.9167,14.2,2.21
43,Goderich,47,CA,1659415507,83,43.7501,-81.7165,20.17,6.17
44,Atuona,15,PF,1659415507,73,-9.8,-139.0333,25.25,7.18
45,Shahr-e Kord,0,IR,1659415507,56,32.3256,50.8644,21.87,2.06
46,Ribeira Grande,3,PT,1659415508,74,38.5167,-28.7,23.31,5.21
47,Puerto Ayora,72,EC,1659415508,93,-0.7393,-90.3518,21.42,4.92
48,Vao,72,NC,1659415508,85,-22.6667,167.4833,22.57,6.96
49,Tautira,15,PF,1659415508,76,-17.7333,-149.15,24.61,10.97
50,Vanimo,93,PG,1659415509,65,-2.6741,141.3028,30.1,4.46
51,Hasaki,100,JP,1659415509,74,35.7333,140.8333,36.22,5.01
52,Vila Velha,40,BR,1659415509,87,-20.3297,-40.2925,22.19,3.09
53,Upernavik,100,GL,1659415509,75,72.7868,-56.1549,7.25,3.11
54,Gibraleón,0,ES,1659415510,62,37.3763,-6.969,23.1,0.82
55,Gulu,100,UG,1659415510,98,2.7746,32.299,17.69,1.39
56,Busselton,96,AU,1659415510,73,-33.65,115.3333,12.48,11.17
57,Egvekinot,9,RU,1659415510,53,66.3167,-179.1667,13.07,2.59
58,Nouadhibou,75,MR,1659415511,88,20.931,-17.0347,21.99,6.17
59,Lewistown,0,US,1659415511,100,40.5992,-77.5714,21.41,0.0
60,Avarua,75,CK,1659415255,64,-21.2078,-159.775,24.03,3.6
61,Lerwick,100,GB,1659415511,98,60.1545,-1.1494,13.0,9.29
62,Hilo,75,US,1659415512,81,19.7297,-155.09,23.94,3.09
63,Sitka,100,US,1659415512,88,57.0531,-135.33,13.94,1.54
64,Fortuna,70,US,1659415512,81,40.5982,-124.1573,16.16,1.25
65,Dzilam González,43,MX,1659415512,83,21.2833,-88.9333,26.03,2.5
66,Aruppukkottai,100,IN,1659415513,59,9.5167,78.1,29.24,4.02
